scopus_main_publisher	publisher_name
Verband der Deutschen Hoehlen-and Karstforscher e.V.	Verband der Deutschen Hohlen- und Karstforscher
Verlag der Oesterreichischen Akademie der Wissenschaften	Verlag der Osterreichischen Akademie der Wissenschaften
Verlag Eugen Ulmer GmbH	Verlag Eugen Ulmer
Verlag M Und H Schaper	Verlag M. und H. Schaper
Verlag M. und H. Schaper GmbH	Verlag M. und H. Schaper
Vicentz Verlag	Vincentz Verlag
Vogel Verlag und Druck GmbH and Co. KG	Vogel Verlag und Druck GmbH & Co. KG
Walter De Gruyter	Walter de Gruyter
Walter de Gruyter & Co. KG	Walter de Gruyter
Walter de Gruyter GmbH	Walter de Gruyter
Walter de Gruyter GmbH & Co. KG	Walter de Gruyter
Wayne State University	Wayne State University Press
Wichtig Publishing s.r.l.	Wichtig Publishing
Wiley Blackwell	Wiley-Blackwell
Wilmington Business Publications	Wilmington Publishing
Wilmington Publishing Ltd.	Wilmington Publishing
Wold Scientific	World Scientific
World Health Organization Regional Office for the Western Pacific	World Health Organization
Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza	Adam Mickiewicz University Press
Wydawnictwo Uniwersytetu Lodzkiego/Lodz University Press	Lodz University
Zheijang University Press	Zhejiang University Press
Zhonghua min guo hu li xue hui	Zhonghua Minguo Wuli Xuehui
