scopus_id	active	open_access	main_publisher	source_type
12723	0	0	De Beers Industrial Diamond Division	Journal
12724	0	0	Cambridge International Science Publishing	Journal
12725	1	0	Springer nature	Journal
12726	0	0	Federation of Societies for Coatings Technology	Journal
12727	0	0	Technomic Publishing	Journal
12728	1	0	Thieme	Journal
12729	0	0	VEKOR Ltd.	Journal
12730	0	0	Nexus Ediciones	Journal
12731	0	0	Journal LKM Ltd.	Journal
12732	1	0	Asociacion Mexicana de Ginecologia y Obstetricia	Journal
12733	1	0	Springer nature	Book Series
12734	1	0	Western Australian Institute for Educational Research Inc.	Journal
12735	0	0	Bohn Stafleu van Loghum B.V	Journal
12736	1	0	Taylor & Francis	Journal
12737	1	0	Taylor & Francis	Journal
12738	1	0	Taylor & Francis	Journal
12739	1	0	Wiley-Blackwell	Journal
12740	1	0	Elsevier	Journal
12741	0	0	Catholic Health Association of Canada	Journal
12742	1	1	Via Medica	Journal
12743	0	0	COR Health LLC	Journal
12744	1	0	CIC Edizioni Internazionali	Journal
12745	0	0	Elsevier	Journal
12746	0	0	Emerald	Journal
12747	1	0	Hrvatsko Drustvo Ginekologa i Opstetricara	Journal
12748	1	0	Christchurch New Zealand Psychological Society	Journal
12749	1	0	Taylor & Francis	Journal
12751	1	0	Nihon No Shinkei Geka Konguresu/Japanese Congress of Neurological Surgeons	Journal
12753	1	0	World Scientific	Journal
12754	1	0	COMADEM International	Journal
12755	1	0	Emerald	Journal
12756	1	0	Society for Chaos Theory in Psychology & Life Sciences	Journal
12757	0	0	Danish Psychological Publishers	Journal
12759	1	0	SAGE	Journal
12760	1	1	Wiley-Blackwell	Journal
12761	0	0	Excerpta Medica	Journal
12762	1	0	Wiley-Blackwell	Journal
12763	1	0	Inderscience Publishers	Journal
12764	1	0	Inderscience Publishers	Journal
12766	0	0	Shiraz University of Medical Sciences	Journal
12767	1	0	Wiley-Blackwell	Journal
12768	1	0	Wiley-Blackwell	Journal
12769	1	0	Springer nature	Journal
12770	1	0	Wiley-Blackwell	Journal
12772	1	0	Wiley-Blackwell	Journal
12773	1	0	Wiley-Blackwell	Journal
12775	1	0	Wiley-Blackwell	Journal
12776	1	0	Wiley-Blackwell	Journal
12780	1	0	Wiley-Blackwell	Journal
12781	1	0	Elsevier	Journal
12782	1	0	Springer nature	Journal
12783	0	0	NonProfit Times Publishing Group	Journal
12785	0	0	American Hospital Association	Journal
12786	1	0	Springer nature	Journal
12788	1	1	Springer nature	Journal
12789	1	0	Wiley-Blackwell	Journal
12791	1	0	Elsevier	Journal
12792	1	0	Springer nature	Journal
12793	1	0	American Psychological Association	Journal
12794	1	0	Emerald	Journal
12795	1	0	SAGE	Journal
12796	0	0	Psychonomic Society Inc.	Journal
12797	1	0	Taylor & Francis	Journal
12798	1	0	SAGE	Journal
12799	0	0	Editions Vauclair	Trade Journal
12800	0	0	National Association of Industrial Technology	Journal
12802	1	1	US National Marine Fisheries Services	Journal
12803	0	0	SAGE	Journal
12804	0	0	Aslib	Journal
12805	0	0	University of South Australia	Journal
12806	0	0	Association pour la Diffusion des Recherches en Sciences Cognitives de Langue Francaise	Journal
12807	1	0	Elsevier	Journal
12808	1	0	American Psychological Association	Journal
